Length,Location
0.0571,Tillamook
0.0813,Tillamook
0.0831,Tillamook
0.0976,Tillamook
0.0817,Tillamook
0.0859,Tillamook
0.0735,Tillamook
0.0659,Tillamook
0.0923,Tillamook
0.0836,Tillamook
0.0873,Newport
0.0662,Newport
0.0672,Newport
0.0819,Newport
0.0749,Newport
0.0649,Newport
0.0835,Newport
0.0725,Newport
0.0974,Petersburg
0.1352,Petersburg
0.0817,Petersburg
0.1016,Petersburg
0.0968,Petersburg
0.1064,Petersburg
0.105,Petersburg
0.1033,Magadan
0.0915,Magadan
0.0781,Magadan
0.0685,Magadan
0.0677,Magadan
0.0697,Magadan
0.0764,Magadan
0.0689,Magadan
0.0703,Tvarminne
0.1026,Tvarminne
0.0956,Tvarminne
0.0973,Tvarminne
0.1039,Tvarminne
0.1045,Tvarminne
